,OutdoorUV,OutdoorVisibleRay_Lux,OutdoorTemperature_C,OutdoorHumidity_pct,OutdoorPressure_hPa,IndoorUV,IndoorVisibleRay_Lux,IndoorTemperature_C,IndoorHumidity_pct,IndoorPressure_hPa
172,3.12,38255.320312,31.93,26.179688,1012.8,0.08,1028.368774,27.3,33.03418,1011.77
173,3.16,38820.921875,31.88,26.233398,1012.77,0.09,1028.368774,27.3,33.089844,1011.75
174,3.26,39900.710938,31.72,26.428711,1012.78,0.09,1028.368774,27.3,33.045898,1011.75
175,3.36,41186.171875,31.69,26.427734,1012.78,0.08,1028.368774,27.3,32.990234,1011.75
176,3.48,42574.46875,31.86,26.425781,1012.72,0.08,1028.368774,27.31,33.036133,1011.77
177,3.6,44168.441406,31.98,26.319336,1012.72,0.08,1028.368774,27.3,33.023438,1011.8
178,3.69,45196.808594,31.9,26.143555,1012.75,0.08,925.531921,27.3,33.079102,1011.77
179,3.79,46379.433594,31.74,26.362305,1012.7,0.07,822.695007,27.29,33.045898,1011.78
180,3.85,47356.382812,31.64,26.526367,1012.7,0.06,874.113464,27.29,33.03418,1011.78
181,3.9,47973.402344,31.84,26.458984,1012.77,0.06,771.276611,27.28,33.055664,1011.75
182,3.92,48179.078125,31.96,26.363281,1012.8,0.06,822.695007,27.29,32.956055,1011.8
183,3.93,48179.078125,31.75,26.453125,1012.74,0.05,668.439697,27.29,33.067383,1011.72
184,3.95,48333.332031,31.54,26.521484,1012.69,0.06,668.439697,27.3,33.045898,1011.76
185,3.96,48487.589844,31.36,26.851562,1012.72,0.05,617.021301,27.29,32.978516,1011.78
186,3.98,48744.679688,31.42,26.923828,1012.79,0.04,617.021301,27.28,33.055664,1011.79
187,4.0,49001.773438,31.63,26.810547,1012.75,0.04,514.184387,27.28,33.044922,1011.76
188,3.99,48898.9375,31.49,26.881836,1012.74,0.04,565.602844,27.28,33.133789,1011.79
189,3.96,48641.84375,31.33,27.020508,1012.78,0.05,565.602844,27.28,33.055664,1011.73
190,3.92,48024.824219,31.32,27.123047,1012.82,0.04,617.021301,27.28,33.067383,1011.78
191,3.87,47356.382812,31.42,27.014648,1012.82,0.05,874.113464,27.29,33.056641,1011.75
192,3.8,46585.105469,31.32,27.008789,1012.76,0.05,874.113464,27.29,33.056641,1011.78
193,3.72,45608.15625,31.35,26.988281,1012.85,0.07,925.531921,27.31,33.013672,1011.8
194,3.59,44014.183594,31.29,27.006836,1012.85,0.07,1131.205688,27.31,33.046875,1011.76
195,3.56,43602.835938,31.31,27.132812,1012.82,0.08,1028.368774,27.31,33.135742,1011.79
196,3.52,43242.90625,31.26,27.254883,1012.78,0.09,1079.787231,27.32,33.036133,1011.74
197,3.48,42780.140625,31.3,27.041992,1012.8,0.09,1079.787231,27.32,33.024414,1011.76
198,3.43,42111.703125,31.46,26.959961,1012.81,0.08,1028.368774,27.32,33.036133,1011.79
199,3.35,41083.332031,31.54,26.930664,1012.77,0.08,976.950378,27.3,32.957031,1011.76
200,3.24,39695.035156,31.36,26.885742,1012.79,0.08,1028.368774,27.31,33.035156,1011.83
201,3.1,38101.0625,31.19,27.000977,1012.84,0.07,822.695007,27.3,33.035156,1011.77
202,2.96,36507.09375,31.16,27.056641,1012.74,0.07,822.695007,27.3,33.035156,1011.75
203,2.85,34913.121094,31.11,27.189453,1012.76,0.06,668.439697,27.29,33.03418,1011.78
204,2.74,33627.660156,30.94,27.270508,1012.78,0.06,617.021301,27.29,33.145508,1011.76
205,2.67,32856.382812,30.78,27.418945,1012.85,0.05,514.184387,27.32,33.036133,1011.79
206,2.63,32445.035156,30.6,27.579102,1012.8,0.05,617.021301,27.3,32.946289,1011.75
207,2.63,32290.779297,30.54,27.666016,1012.8,0.05,514.184387,27.31,32.979492,1011.75
208,2.66,32650.708984,30.54,27.722656,1012.79,0.04,514.184387,27.31,33.023438,1011.79
209,2.7,33164.894531,30.53,27.699219,1012.85,0.04,617.021301,27.3,33.146484,1011.72
210,2.76,33936.171875,30.52,27.766602,1012.82,0.05,668.439697,27.31,33.023438,1011.77
211,2.82,34604.609375,30.64,27.694336,1012.82,0.05,719.858154,27.32,33.013672,1011.73
212,2.89,35478.722656,30.62,27.693359,1012.78,0.05,771.276611,27.34,33.026367,1011.77
213,2.95,36147.164062,30.61,27.71582,1012.79,0.06,874.113464,27.34,33.071289,1011.77
214,3.02,37072.695312,30.76,27.702148,1012.85,0.07,976.950378,27.34,33.015625,1011.76
215,3.08,37843.972656,30.89,27.72168,1012.75,0.07,976.950378,27.34,32.993164,1011.77
216,3.16,38615.25,31.0,27.580078,1012.81,0.08,976.950378,27.33,32.992188,1011.77
217,3.24,39746.453125,31.06,27.379883,1012.83,0.08,976.950378,27.32,33.069336,1011.76
218,3.34,40980.496094,31.2,27.262695,1012.77,0.08,1028.368774,27.33,32.992188,1011.74
219,3.45,42265.957031,31.18,27.238281,1012.84,0.08,1079.787231,27.34,32.982422,1011.76
220,3.54,43500.0,31.09,27.290039,1012.76,0.09,1028.368774,27.33,32.992188,1011.72
221,3.63,44476.949219,31.05,27.368164,1012.81,0.08,1131.205688,27.32,32.980469,1011.8
222,3.69,45299.644531,31.19,27.319336,1012.85,0.09,1028.368774,27.33,32.992188,1011.79
223,3.77,46328.015625,31.4,27.195312,1012.76,0.07,874.113464,27.33,32.981445,1011.83
224,3.86,47253.546875,31.26,27.107422,1012.86,0.07,874.113464,27.34,32.837891,1011.77
225,3.89,47613.476562,31.32,27.088867,1012.8,0.06,668.439697,27.33,32.904297,1011.77
226,3.91,47921.984375,31.57,26.932617,1012.78,0.05,514.184387,27.33,32.993164,1011.8
227,3.93,48230.496094,31.76,26.75,1012.81,0.04,514.184387,27.33,33.004883,1011.83
228,3.94,48436.171875,31.79,26.490234,1012.84,0.05,617.021301,27.33,32.924805,1011.82
229,3.98,48744.679688,31.81,26.650391,1012.82,0.06,822.695007,27.33,33.004883,1011.76
230,4.03,49413.121094,31.89,26.484375,1012.83,0.08,1028.368774,27.34,32.993164,1011.79
231,4.05,49721.632812,31.84,26.402344,1012.8,0.08,1079.787231,27.34,33.015625,1011.73
232,4.08,50030.140625,31.62,26.412109,1012.81,0.08,976.950378,27.33,33.004883,1011.77
233,4.11,50338.652344,31.25,26.731445,1012.77,0.08,976.950378,27.34,33.015625,1011.81
234,4.12,50698.582031,31.03,26.922852,1012.77,0.08,822.695007,27.35,33.004883,1011.77
235,4.14,50852.835938,30.84,27.09375,1012.82,0.07,771.276611,27.34,32.959961,1011.79
236,4.18,51109.929688,31.06,27.106445,1012.79,0.05,668.439697,27.33,32.949219,1011.74
237,4.19,51367.019531,31.19,27.000977,1012.83,0.05,565.602844,27.33,32.993164,1011.77
238,4.21,51521.277344,31.27,26.959961,1012.86,0.04,617.021301,27.32,33.114258,1011.76
239,4.21,51675.53125,31.41,26.865234,1012.76,0.05,668.439697,27.32,33.00293,1011.77
240,4.23,51932.625,31.34,26.816406,1012.85,0.05,719.858154,27.33,33.003906,1011.79
241,4.23,51932.625,31.41,26.842773,1012.81,0.05,874.113464,27.32,33.013672,1011.77
242,4.25,52086.878906,31.49,26.700195,1012.81,0.07,925.531921,27.31,33.045898,1011.77
243,4.25,52035.460938,31.48,26.654297,1012.79,0.07,976.950378,27.3,33.068359,1011.72
244,4.24,52138.296875,31.62,26.62793,1012.8,0.07,1028.368774,27.31,33.024414,1011.73
245,4.26,52138.296875,31.83,26.469727,1012.82,0.08,1028.368774,27.31,33.035156,1011.79
246,4.24,52035.460938,31.97,26.272461,1012.85,0.08,1079.787231,27.31,33.102539,1011.79
247,4.23,51881.207031,32.03,26.219727,1012.83,0.07,1131.205688,27.31,33.036133,1011.77
248,4.23,51829.789062,31.98,26.170898,1012.79,0.08,1182.624146,27.33,33.025391,1011.79
249,4.23,51881.207031,31.93,26.202148,1012.86,0.08,1079.787231,27.32,33.025391,1011.79
250,4.24,52086.878906,31.92,26.201172,1012.82,0.08,1079.787231,27.33,33.015625,1011.82
251,4.26,52189.714844,32.02,26.138672,1012.78,0.09,1079.787231,27.35,33.039062,1011.81
252,4.29,52446.808594,32.08,26.09668,1012.81,0.09,1079.787231,27.37,33.005859,1011.89
253,4.34,53320.921875,32.39,25.829102,1012.8,0.09,1028.368774,27.38,33.163086,1011.83
254,4.39,53783.6875,32.13,25.87207,1012.79,0.07,925.531921,27.39,32.941406,1011.83
255,4.42,54246.453125,31.89,26.029297,1012.83,0.06,771.276611,27.38,32.962891,1011.83
256,4.46,54709.21875,31.89,26.131836,1012.87,0.04,617.021301,27.39,32.962891,1011.8
257,4.49,54966.3125,32.15,26.123047,1012.82,0.04,565.602844,27.39,32.953125,1011.81
258,4.52,55274.824219,32.25,25.946289,1012.78,0.05,565.602844,27.41,32.931641,1011.81
259,4.55,55583.332031,32.16,25.896484,1012.84,0.05,771.276611,27.41,33.053711,1011.84
260,4.55,55686.171875,32.0,26.023438,1012.82,0.07,976.950378,27.41,32.90918,1011.87
261,4.56,55943.261719,32.06,26.015625,1012.79,0.08,1028.368774,27.4,33.098633,1011.83
262,4.6,56148.9375,32.05,26.061523,1012.82,0.08,1079.787231,27.42,33.021484,1011.85
263,4.57,56097.519531,32.07,26.0625,1012.81,0.07,976.950378,27.44,32.911133,1011.84
264,4.56,55943.261719,31.96,26.124023,1012.8,0.06,771.276611,27.45,32.901367,1011.85
265,4.55,55840.425781,31.77,26.204102,1012.8,0.05,565.602844,27.46,32.879883,1011.91
266,4.5,55171.984375,31.73,26.224609,1012.78,0.03,565.602844,27.47,32.813477,1011.85
267,4.44,54452.128906,31.68,26.347656,1012.83,0.04,668.439697,27.46,32.723633,1011.76
268,4.37,53475.175781,31.7,26.370117,1012.83,0.08,1079.787231,27.44,32.867188,1011.84
269,4.26,52292.554688,31.66,26.369141,1012.81,0.08,1131.205688,27.42,32.932617,1011.87
270,4.14,50647.164062,31.69,26.404297,1012.87,0.09,1182.624146,27.43,32.876953,1011.85
271,4.0,48950.355469,31.76,26.385742,1012.81,0.08,1131.205688,27.43,32.876953,1011.82
